itemcode,itemname,,,,,,,
3122,꾸지뽕돼지갈비샐러드,,,,,,,
3164,[1Table] 우미학 차돌 깍두기 볶음밥,,,,,,,
3191,버섯 마늘찜닭 세트 ,,,,,,,
3232,포두부 파스타 세트 ,,,,,,,
3233,주꾸미 제육볶음 한상 세트 ,,,,,,,
3298,집콕 브런치 패키지,,,,,,,
3320,호박고구마 렌틸콩 샐러드 세트,,,,,,,
3325,율무 단호박 샐러드,,,,,,,
3330,부드러운 비프 샐러드,,,,,,,
3356,[5월] 효도 패키지 ,,,,,,,
3397,[5월] 짬짜면 패키지 ,,,,,,,
3417,오징어버터구이샐러드,,,,,,,
3428,구운채소&오징어 샐러드,,,,,,,
3477,[5월] 커플 패키지,,,,,,,
3483,오징어 참나물볶음 세트 ,,,,,,,
3484,머쉬룸리조토 세트 ,,,,,,,
3485,코코넛 쉬림프 샐러드 세트,,,,,,,
3606,죽염 영광 참굴비 6호(10마리/800g),,,,,,,
3642,고추잡채 덮밥 소스 세트,,,,,,,
3646,자염 영광 참굴비 5호(10마리/900g),,,,,,,
3652,율무 쉬림프 샐러드 세트,,,,,,,
3660,강황 닭갈비 세트 ,,,,,,,
3667,소불고기&곡물샐러드,,,,,,,
3679,통밀파스타샐러드,,,,,,,
3680,스페인세비체샐러드,,,,,,,
3683,포두부새우샐러드,,,,,,,
3684,올리브닭살샐러드,,,,,,,
3724,제주고사리 돼지고기찜 ,,,,,,,
3749,죽염 영광 참굴비 5호(10마리/900g),,,,,,,
3750,해양심층수 소금 영광 참굴비 5호(10마리/900g),,,,,,,
3762,모둠버섯 소불고기 한상 세트 ,,,,,,,
3770,제주고사리 햄프씨드볶음 ,,,,,,,
3772,게랑드 소금 영광 참굴비 6호　(10마리/800g),,,,,,,
3832,제주고사리 오리 들깨볶음 ,,,,,,,
3833,양평 비름나물 된장무침 ,,,,,,,
3845,게랑드 소금 영광 참굴비 5호　(10마리/900g),,,,,,,
3855,제주고사리 고추잡채&꽃빵 ,,,,,,,
3967,닭살 버섯 로제소스볶음 세트 ,,,,,,,
3973,[5월] 키즈 패키지 ,,,,,,,
4031,모둠버섯 치킨 샐러드,,,,,,,
4056,[에르베로씨] 피치잼,,,,,,,
4083,[사라베스] 오렌지 아프리콧잼,,,,,,,
4106,과카몰리 씨푸드 샐러드 ,,,,,,,
4178,순수 어묵볶음 ,,,,,,,
4227,연어구이콥샐러드,,,,,,,
4275,[5월] 3days 샐러드 패키지,,,,,,,
4326,곤드레 콜리플라워 세트 ,,,,,,,
4393,무화과 발사믹 드레싱 ,,,,,,,
4398,시래기 돼지고기찜 세트 ,,,,,,,
4399,지중해식 토마토닭볶음 세트 ,,,,,,,
4405,삼채 버섯볶음&두부스테이크 세트,,,,,,,
4411,두부 팔보채 세트 ,,,,,,,
4421,버섯 콜리플라워볶음 세트,,,,,,,
4461,낙지 오징어 미나리볶음 세트 ,,,,,,,
4501,상하이 두부면볶음 ,,,,,,,
4554,현대화식한우 으뜸 난  (1.2kg),,,,,,,
4588,멕시칸 치킨 타코 샐러드 세트 ,,,,,,,
4589,태국식 솜땀 샐러드 세트 ,,,,,,,
4619,매콤 꾸지뽕 닭살볶음 세트 ,,,,,,,
4653,매운 해물덮밥소스 세트 ,,,,,,,
4671,[사라베스] 스트로베리 라즈베리잼,,,,,,,
4687,옐로우아이빈 팥죽 (1인분),,,,,,,
4776,[로이] 올리브오일 500ml,,,,,,,
4797,매콤 마늘종 어묵볶음 ,,,,,,,
4822,제주고사리 두부조림 세트 ,,,,,,,
4845,리코타치즈 바나나 샐러드 세트 ,,,,,,,
4846,무화과 비트 타히니 샐러드 세트 ,,,,,,,
4847,닭안심 미나리페스토 샐러드 세트 ,,,,,,,
4853,과카몰리 쉬림프 샐러드 세트 ,,,,,,,
4858,치킨스테이크 퀴노아 샐러드 세트 ,,,,,,,
4889,히비스커스 라타투이 세트,,,,,,,
4890,계피 소고기볶음 세트,,,,,,,
4941,오징어 버터구이 샐러드 세트,,,,,,,
4968,닭살 버섯 로제소스볶음 세트,,,,,,,
4980,늙은 호박죽 (1인분),,,,,,,
4988,태국식 소고기 공심채 세트 ,,,,,,,
5038,슈퍼곡물 구운채소 샐러드 세트 ,,,,,,,
5042,오리 도라지볶음 세트 ,,,,,,,
5058,미나리 오징어 돼지불고기 세트 ,,,,,,,
5063,계피 버섯 마늘 찜닭 세트,,,,,,,
5066,멕시칸 타코 샐러드 ,,,,,,,
5080,분짜 느억맘 샐러드 세트,,,,,,,
5081,병아리콩 불고기 샐러드 세트 ,,,,,,,
5116,모짜렐라치즈 루꼴라 샐러드 세트 ,,,,,,,
5117,연자육 닭살 콥샐러드 세트 ,,,,,,,
